"dates_s","oil_price"
"2016-06-28",47.93
"2016-06-29",49.85
"2016-06-30",48.27
"2016-07-01",49.02
"2016-07-02",48.38
"2016-07-03",47.87
"2016-07-04",47.35
"2016-07-05",46.73
"2016-07-06",47.37
"2016-07-07",45.22
"2016-07-08",45.37
"2016-07-09",45.22
"2016-07-10",45.08
"2016-07-11",44.73
"2016-07-12",46.82
"2016-07-13",44.87
"2016-07-14",45.64
"2016-07-15",45.93
"2016-07-16",45.65
"2016-07-17",45.42
"2016-07-18",45.23
"2016-07-19",44.64
"2016-07-20",44.96
"2016-07-21",43.96
"2016-07-22",43.41
"2016-07-23",43.09
"2016-07-24",42.75
"2016-07-25",42.4
"2016-07-26",42.16
"2016-07-27",41.9
"2016-07-28",41.13
"2016-07-29",41.54
"2016-07-30",40.99
"2016-07-31",40.53
"2016-08-01",40.05
"2016-08-02",39.5
"2016-08-03",40.8
"2016-08-04",41.92
"2016-08-05",41.83
"2016-08-06",42.24
"2016-08-07",42.61
"2016-08-08",43.06
"2016-08-09",42.78
"2016-08-10",41.75
"2016-08-11",43.51
"2016-08-12",44.47
"2016-08-13",44.86
"2016-08-14",45.31
"2016-08-15",45.72
"2016-08-16",46.57
"2016-08-17",46.81
"2016-08-18",48.2
"2016-08-19",48.48
"2016-08-20",47.89
"2016-08-21",47.41
"2016-08-22",46.8
"2016-08-23",47.54
"2016-08-24",46.29
"2016-08-25",46.97
"2016-08-26",47.64
"2016-08-27",47.33
"2016-08-28",47.12
"2016-08-29",46.97
"2016-08-30",46.32
"2016-08-31",44.68
"2016-09-01",43.17
"2016-09-02",44.39
"2016-09-03",44.45
"2016-09-04",44.61
"2016-09-05",44.76
"2016-09-06",44.85
"2016-09-07",45.47
"2016-09-08",47.63
"2016-09-09",45.88
"2016-09-10",46.07
"2016-09-11",46.1
"2016-09-12",46.28
"2016-09-13",44.91
"2016-09-14",43.62
"2016-09-15",43.85
"2016-09-16",43.04
"2016-09-17",43.22
"2016-09-18",43.31
"2016-09-19",43.34
"2016-09-20",43.85
"2016-09-21",45.33
"2016-09-22",46.1
"2016-09-23",44.36
"2016-09-24",44.87
"2016-09-25",45.18
"2016-09-26",45.6
"2016-09-27",44.65
"2016-09-28",47.07
"2016-09-29",47.72
"2016-09-30",47.72
"2016-10-01",48.09
"2016-10-02",48.42
"2016-10-03",48.8
"2016-10-04",48.67
"2016-10-05",49.75
"2016-10-06",50.44
"2016-10-07",49.76
"2016-10-08",49.83
"2016-10-09",49.84
"2016-10-10",49.76
"2016-10-11",50.72
"2016-10-12",50.14
"2016-10-13",50.47
"2016-10-14",50.35
"2016-10-15",50.24
"2016-10-16",50.13
"2016-10-17",49.97
"2016-10-18",50.3
"2016-10-19",51.59
"2016-10-20",50.31
"2016-10-21",50.61
"2016-10-22",50.42
"2016-10-23",50.27
"2016-10-24",50.18
"2016-10-25",49.45
"2016-10-26",48.75
"2016-10-27",49.71
"2016-10-28",48.72
"2016-10-29",48.12
"2016-10-30",47.49
"2016-10-31",46.83
"2016-11-01",46.66
"2016-11-02",45.32
"2016-11-03",44.66
"2016-11-04",44.07
"2016-11-05",44.4
"2016-11-06",44.63
"2016-11-07",44.88
"2016-11-08",44.96
"2016-11-09",45.2
"2016-11-10",44.62
"2016-11-11",43.39
"2016-11-12",43.53
"2016-11-13",43.54
"2016-11-14",43.29
"2016-11-15",45.86
"2016-11-16",45.56
"2016-11-17",45.37
"2016-11-18",45.69
"2016-11-19",46.3
"2016-11-20",46.88
"2016-11-21",47.48
"2016-11-22",48.07
"2016-11-23",46.72
"2016-11-24",46.77
"2016-11-25",46.72
"2016-11-26",46.36
"2016-11-27",46.03
"2016-11-28",45.66
"2016-11-29",45.29
"2016-11-30",49.41
"2016-12-01",51.08
"2016-12-02",51.7
"2016-12-03",51.62
"2016-12-04",51.63
"2016-12-05",51.72
"2016-12-06",50.95
"2016-12-07",49.85
"2016-12-08",50.84
"2016-12-09",51.51
"2016-12-10",51.89
"2016-12-11",52.29
"2016-12-12",52.74
"2016-12-13",52.99
"2016-12-14",51.01
"2016-12-15",50.9
"2016-12-16",51.93
"2016-12-17",51.93
"2016-12-18",52.03
"2016-12-19",52.13
"2016-12-20",52.22
"2016-12-21",51.44
"2016-12-22",51.98
"2016-12-23",52.01
"2016-12-24",52.25
"2016-12-25",52.47
"2016-12-26",52.69
"2016-12-27",52.82
"2016-12-28",54.01
"2016-12-29",53.8
"2016-12-30",53.75
"2016-12-31",53.41
"2017-01-01",53.11
"2017-01-02",52.8
"2017-01-03",52.36
"2017-01-04",53.26
"2017-01-05",53.77
"2017-01-06",53.98
"2017-01-07",53.23
"2017-01-08",52.58
"2017-01-09",51.95
"2017-01-10",50.82
"2017-01-11",52.19
"2017-01-12",53.01
"2017-01-13",52.36
"2017-01-14",52.39
"2017-01-15",52.37
"2017-01-16",52.34
"2017-01-17",52.45
"2017-01-18",51.12
"2017-01-19",51.39
"2017-01-20",52.33
"2017-01-21",52.4
"2017-01-22",52.56
"2017-01-23",52.77
"2017-01-24",52.38
"2017-01-25",52.14
"2017-01-26",53.24
"2017-01-27",53.18
"2017-01-28",52.99
"2017-01-29",52.83
"2017-01-30",52.63
"2017-01-31",52.75
"2017-02-01",53.9
"2017-02-02",53.55
"2017-02-03",53.81
"2017-02-04",53.49
"2017-02-05",53.23
"2017-02-06",53.01
"2017-02-07",52.19
"2017-02-08",52.37
"2017-02-09",52.99
"2017-02-10",53.84
"2017-02-11",53.48
"2017-02-12",53.25
"2017-02-13",52.96
"2017-02-14",53.21
"2017-02-15",53.11
"2017-02-16",53.41
"2017-02-17",53.41
"2017-02-18",53.56
"2017-02-19",53.7
"2017-02-20",53.83
"2017-02-21",54.02
"2017-02-22",53.61
"2017-02-23",54.48
"2017-02-24",53.99
"2017-02-25",54.03
"2017-02-26",54.03
"2017-02-27",54.04
"2017-02-28",54
"2017-03-01",53.82
"2017-03-02",52.63
"2017-03-03",53.33
"2017-03-04",53.22
"2017-03-05",53.16
"2017-03-06",53.19
"2017-03-07",52.68
"2017-03-08",49.83
"2017-03-09",48.75
"2017-03-10",48.05
"2017-03-11",48.05
"2017-03-12",47.97
"2017-03-13",47.95
"2017-03-14",47.24
"2017-03-15",48.34
"2017-03-16",48.3
"2017-03-17",48.34
"2017-03-18",48.12
"2017-03-19",47.93
"2017-03-20",47.79
"2017-03-21",47.02
"2017-03-22",47.29
"2017-03-23",47
"2017-03-24",47.3
"2017-03-25",47.24
"2017-03-26",47.2
"2017-03-27",47.02
"2017-03-28",48.36
"2017-03-29",49.47
"2017-03-30",50.3
"2017-03-31",50.54
"2017-04-01",50.44
"2017-04-02",50.39
"2017-04-03",50.25
"2017-04-04",50.99
"2017-04-05",51.14
"2017-04-06",51.69
"2017-04-07",52.25
"2017-04-08",52.5
"2017-04-09",52.78
"2017-04-10",53.06
"2017-04-11",53.38
"2017-04-12",53.12
"2017-04-13",53.19
"2017-04-14",53.03
"2017-04-15",52.88
"2017-04-16",52.74
"2017-04-17",52.62
"2017-04-18",52.46
"2017-04-19",50.49
"2017-04-20",50.26
"2017-04-21",49.64
"2017-04-22",49.44
"2017-04-23",49.2
"2017-04-24",48.9
"2017-04-25",49.22
"2017-04-26",49.22
"2017-04-27",48.96
"2017-04-28",49.31
"2017-04-29",49.08
"2017-04-30",48.91
"2017-05-01",48.83
"2017-05-02",47.65
"2017-05-03",47.79
"2017-05-04",45.55
"2017-05-05",46.23
"2017-05-06",46.26
"2017-05-07",46.33
"2017-05-08",46.46
"2017-05-09",45.84
"2017-05-10",47.28
"2017-05-11",47.81
"2017-05-12",47.83
"2017-05-13",48.17
"2017-05-14",48.49
"2017-05-15",48.86
"2017-05-16",48.64
"2017-05-17",49.04
"2017-05-18",49.36
"2017-05-19",50.32
"2017-05-20",50.43
"2017-05-21",50.62
"2017-05-22",50.81
"2017-05-23",51.12
"2017-05-24",50.99
"2017-05-25",48.57
"2017-05-26",49.58
"2017-05-27",49.5
"2017-05-28",49.5
"2017-05-29",49.5
"2017-05-30",49.63
"2017-05-31",48.29
"2017-06-01",48.32
"2017-06-02",47.68
"2017-06-03",47.64
"2017-06-04",47.55
"2017-06-05",47.4
"2017-06-06",48.13
"2017-06-07",45.8
"2017-06-08",45.68
"2017-06-09",45.82
"2017-06-10",45.91
"2017-06-11",46.01
"2017-06-12",46.1
"2017-06-13",46.41
"2017-06-14",44.79
"2017-06-15",44.47
"2017-06-16",44.73
"2017-06-17",44.51
"2017-06-18",44.34
"2017-06-19",44.24
"2017-06-20",43.34
"2017-06-21",42.48
"2017-06-22",42.53
"2017-06-23",42.86
"2017-06-24",43.01
"2017-06-25",43.17
"2017-06-26",43.24
"2017-06-27",44.25
"2017-06-28",44.74
"2017-06-29",44.88
"2017-06-30",46.02
"2017-07-01",45.74
"2017-07-02",45.59
"2017-07-03",45.45
"2017-07-04",45.3
"2017-07-05",45.11
"2017-07-06",45.52
"2017-07-07",44.25
"2017-07-08",44.41
"2017-07-09",44.44
"2017-07-10",44.4
"2017-07-11",45.06
"2017-07-12",45.48
"2017-07-13",46.06
"2017-07-14",46.53
"2017-07-15",46.33
"2017-07-16",46.21
"2017-07-17",46.02
"2017-07-18",46.4
"2017-07-19",47.1
"2017-07-20",46.73
"2017-07-21",45.78
"2017-07-22",46.05
"2017-07-23",46.2
"2017-07-24",46.21
"2017-07-25",47.77
"2017-07-26",48.58
"2017-07-27",49.05
"2017-07-28",49.72
"2017-07-29",49.81
"2017-07-30",49.95
"2017-07-31",50.21
"2017-08-01",49.19
"2017-08-02",49.6
"2017-08-03",49.03
"2017-08-04",49.57
"2017-08-05",49.46
"2017-08-06",49.41
"2017-08-07",49.37
"2017-08-08",49.07
"2017-08-09",49.59
"2017-08-10",48.54
"2017-08-11",48.81
"2017-08-12",48.38
"2017-08-13",48
"2017-08-14",47.59
"2017-08-15",47.57
"2017-08-16",46.8
"2017-08-17",47.07
"2017-08-18",48.59
"2017-08-19",48.09
"2017-08-20",47.77
"2017-08-21",47.39
"2017-08-22",47.65
"2017-08-23",48.45
"2017-08-24",47.24
"2017-08-25",47.65
"2017-08-26",47.2
"2017-08-27",46.82
"2017-08-28",46.4
"2017-08-29",46.46
"2017-08-30",45.96
"2017-08-31",47.26
"2017-09-01",47.32
"2017-09-02",47.66
"2017-09-03",47.99
"2017-09-04",48.32
"2017-09-05",48.63
"2017-09-06",49.13
"2017-09-07",49.1
"2017-09-08",47.44
"2017-09-09",47.77
"2017-09-10",47.92
"2017-09-11",48.06
"2017-09-12",48.21
"2017-09-13",49.3
"2017-09-14",49.86
"2017-09-15",49.9
"2017-09-16",49.88
"2017-09-17",49.87
"2017-09-18",49.88
"2017-09-19",49.54
"2017-09-20",50.29
"2017-09-21",50.58
"2017-09-22",50.33
"2017-09-23",50.86
"2017-09-24",51.32
"2017-09-25",51.85
"2017-09-26",51.59
"2017-09-27",52.14
"2017-09-28",51.62
"2017-09-29",51.67
"2017-09-30",51.29
"2017-10-01",50.95
"2017-10-02",50.59
"2017-10-03",50.44
"2017-10-04",50
"2017-10-05",50.79
"2017-10-06",49.34
"2017-10-07",49.56
"2017-10-08",49.64
"2017-10-09",49.58
"2017-10-10",50.93
"2017-10-11",51.3
"2017-10-12",50.61
"2017-10-13",51.43
"2017-10-14",51.53
"2017-10-15",51.69
"2017-10-16",51.86
"2017-10-17",51.87
"2017-10-18",52.05
"2017-10-19",51.29
"2017-10-20",51.63
"2017-10-21",51.72
"2017-10-22",51.83
"2017-10-23",51.91
"2017-10-24",52.32
"2017-10-25",51.97
"2017-10-26",52.41
"2017-10-27",53.92
"2017-10-28",53.89
"2017-10-29",54.01
"2017-10-30",54.11
"2017-10-31",54.36
"2017-11-01",54.32
"2017-11-02",54.55
"2017-11-03",55.63
"2017-11-04",56.14
"2017-11-05",56.7
"2017-11-06",57.34
"2017-11-07",57.19
"2017-11-08",56.82
"2017-11-09",57.16
"2017-11-10",56.75
"2017-11-11",56.74
"2017-11-12",56.7
"2017-11-13",56.77
"2017-11-14",55.67
"2017-11-15",55.28
"2017-11-16",55.14
"2017-11-17",56.21
"2017-11-18",56.17
"2017-11-19",56.22
"2017-11-20",56.21
"2017-11-21",56.84
"2017-11-22",57.88
"2017-11-23",58.34
"2017-11-24",58.94
"2017-11-25",58.6
"2017-11-26",58.35
"2017-11-27",58.1
"2017-11-28",57.96
"2017-11-29",57.25
"2017-11-30",57.4
"2017-12-01",58.35
"2017-12-02",57.99
"2017-12-03",57.75
"2017-12-04",57.48
"2017-12-05",57.66
"2017-12-06",55.79
"2017-12-07",56.5
"2017-12-08",57.15
"2017-12-09",57.31
"2017-12-10",57.53
"2017-12-11",57.84
"2017-12-12",57.12
"2017-12-13",56.59
"2017-12-14",57
"2017-12-15",57.29
"2017-12-16",57.24
"2017-12-17",57.23
"2017-12-18",57.17
"2017-12-19",57.49
"2017-12-20",58.09
"2017-12-21",58.34
"2017-12-22",58.25
"2017-12-23",58.6
"2017-12-24",58.91
"2017-12-25",59.22
"2017-12-26",59.55
"2017-12-27",59.67
"2017-12-28",59.84
"2017-12-29",60.46
"2017-12-30",60.42
"2017-12-31",60.45
"2018-01-01",60.47
"2018-01-02",60.37
"2018-01-03",61.61
"2018-01-04",61.98
"2018-01-05",61.49
"2018-01-06",61.65
"2018-01-07",61.75
"2018-01-08",61.73
"2018-01-09",62.92
"2018-01-10",63.6
"2018-01-11",63.81
"2018-01-12",64.22
"2018-01-13",64.08
"2018-01-14",64
"2018-01-15",63.92
"2018-01-16",63.82
"2018-01-17",63.92
"2018-01-18",63.96
"2018-01-19",63.38
"2018-01-20",63.55
"2018-01-21",63.64
"2018-01-22",63.66
"2018-01-23",64.45
"2018-01-24",65.69
"2018-01-25",65.62
"2018-01-26",66.27
"2018-01-27",66
"2018-01-28",65.81
"2018-01-29",65.71
"2018-01-30",64.64
"2018-01-31",64.82
"2018-02-01",65.92
"2018-02-02",65.5
"2018-02-03",65.03
"2018-02-04",64.59
"2018-02-05",64.18
"2018-02-06",63.48
"2018-02-07",61.91
"2018-02-08",61.3
"2018-02-09",59.2
"2018-02-10",59.42
"2018-02-11",59.42
"2018-02-12",59.41
"2018-02-13",59.33
"2018-02-14",60.7
"2018-02-15",61.48
"2018-02-16",61.89
"2018-02-17",61.86
"2018-02-18",61.87
"2018-02-19",61.89
"2018-02-20",61.91
"2018-02-21",61.73
"2018-02-22",62.72
"2018-02-23",63.52
"2018-02-24",63.52
"2018-02-25",63.61
"2018-02-26",63.81
"2018-02-27",62.94
"2018-02-28",61.43
"2018-03-01",60.98
"2018-03-02",61.19
"2018-03-03",61.62
"2018-03-04",62.03
"2018-03-05",62.49
"2018-03-06",62.54
"2018-03-07",61.09
"2018-03-08",60.13
"2018-03-09",62.02
"2018-03-10",61.65
"2018-03-11",61.48
"2018-03-12",61.35
"2018-03-13",60.69
"2018-03-14",60.89
"2018-03-15",61.16
"2018-03-16",62.29
"2018-03-17",62.17
"2018-03-18",62.17
"2018-03-19",62.01
"2018-03-20",63.37
"2018-03-21",65.1
"2018-03-22",64.25
"2018-03-23",65.8
"2018-03-24",65.58
"2018-03-25",65.52
"2018-03-26",65.49
"2018-03-27",65.21
"2018-03-28",64.3
"2018-03-29",64.87
"2018-03-30",64.36
"2018-03-31",63.95
"2018-04-01",63.54
"2018-04-02",63.05
"2018-04-03",63.41
"2018-04-04",63.35
"2018-04-05",63.53
"2018-04-06",62.03
"2018-04-07",62.68
"2018-04-08",63.13
"2018-04-09",63.4
"2018-04-10",65.48
"2018-04-11",66.81
"2018-04-12",67.07
"2018-04-13",67.35
"2018-04-14",66.96
"2018-04-15",66.64
"2018-04-16",66.23
"2018-04-17",66.5
"2018-04-18",68.44
"2018-04-19",68.3
"2018-04-20",68.26
"2018-04-21",68.04
"2018-04-22",67.84
"2018-04-23",67.61
"2018-04-24",67.66
"2018-04-25",68
"2018-04-26",68.18
"2018-04-27",68.11
"2018-04-28",68.27
"2018-04-29",68.41
"2018-04-30",68.56
